	tag	label	sentence	text
1	figure	Figure 1	1	Tools generated to study Unc-4 function.
2	figure	Figure 1	2	(A) Homeodomains of Unc-4 protein in D. melanogaster, C. elegans and H. sapiens are shown with the percent identity on the right.
3	figure	Figure 1	3	Amino acids that differ from Drosophilase quence were highlighted in red.
4	figure	Figure 1	4	(B) Schematic representation of edited unc-4 locus in unc-4FRT line shown (drawing is not to scale).
5	figure	Figure 1	5	Two FRT sites (magenta) are present with the same orientation flanking 2nd and 3rd exons (the homeodomain coding exons) and an attP site (yellow) is located 5’ to the second exon. unc-4null fly line was generated by FLP/FRT mediated excision of these exons in the germline.
6	figure	Figure 1	6	The same FLP/FRT mediated excision in somatic tissues was used for conditional mutant analysis.
7	figure	Figure 1	7	Trojan exons were inserted into the attP site to generate unc-4AD, unc-4DBD, unc-4GAL4 reporter lines.
8	figure	Figure 1	8	The region that is recognized by rabbit Unc-4 antibody underlined in red.
9	figure	Figure 1	9	(C) Dissected VNC samples from control (left) and unc-4null (right) embryos are shown.
10	figure	Figure 1	10	In the control VNC, Unc-4 protein (green) is expressed in a segmentally-repeated pattern.
11	figure	Figure 1	11	In the mutant embryo, no Unc-4 expression is detected.
12	figure	Figure 1	12	(D–H) unc-4DBD-tubAD driven GFP expression (green) shown.
13	figure	Figure 1	13	(D) Expression of this split GAL4 combination overlaps with Unc-4 protein expression (magenta) in the larval VNC.
14	figure	Figure 1	14	The clusters of neurons correspond to ventrally located Unc-4+ hemilineages.
15	figure	Figure 1	15	(E–F) Unc-4 is expressed in clusters of neurons in the adult VNC (E, E’) and brain (F).
16	figure	Figure 1	16	Ventrally located VNC lineages shown in E; dorsally located VNC lineages shown in E’.
17	figure	Figure 1	17	Here and in other figures, CadN antibody staining (magenta) used to define the contours of the adult CNS tissues.
18	figure	Figure 1	18	(G) Anterior body parts of an adult fly shown.
19	figure	Figure 1	19	Unc-4 reporter marks different types of sensory neurons: chordotonal (cho) organ (yellow arrow) and bristle sensory (white arrows) neurons in the leg, olfactory neurons in maxillary pulps (yellow arrowheads) and antennas (white arrowheads), and Johnston’s organ (not visible in this image).
20	figure	Figure 1	20	Magenta is cuticle autofluorescence.
21	figure	Figure 1	21	(H) A leg disc from an early stage pupa shown; anterior is to the left.
22	figure	Figure 1	22	Unc-4 is expressed in progenitors of chordotonal neurons, also called sensory organ precursors (SOPs), which were marked with Sens expression (magenta).
23	figure	Figure 1	23	(I) An example for conditional removal of unc-4 shown.
24	figure	Figure 1	24	Unc-4 (green) and Acj6 (magenta) are co-expressed in 23B neurons in the larval VNC but only Unc-4 is expressed in 7B neurons.
25	figure	Figure 1	25	NB7-4 specific FLP expression in the unc-4FRT larva (right panel) removes Unc-4 expression from the 23B neurons (NB7-4 progeny) but not the 7B neurons.
26	figure	Figure 1	26	Anterior is up in all images in this and other figures unless indicated otherwise.
27	figure	Figure 1	27	Scale bar (yellow line) is 20 microns.
28	figure	Figure 1—figure supplement 1	1	Unc-4 expression pattern in larval and adult tissues.
29	figure	Figure 1—figure supplement 1	2	(A–I) GFP expression (green) driven by unc-4AD, unc-4DBD, unc-4GAL4 reporter lines shown from larval (A–D) and adult tissues (E–I).
30	figure	Figure 1—figure supplement 1	3	(A) A whole-mount second instar larval sample shown.
31	figure	Figure 1—figure supplement 1	4	Unc-4 is expressed in the CNS, head taste organ, and ventral epidermal cells, which partially overlap with denticle bends.
32	figure	Figure 1—figure supplement 1	5	(B) Unc-4 is expressed in the midgut enteroendocrine cells.
33	figure	Figure 1—figure supplement 1	6	(C, D) Unc-4 is expressed in antennal (C) and leg (D) imaginal discs.
34	figure	Figure 1—figure supplement 1	7	In the leg disc, Unc-4 expression is confined to the anterior region of the disc.
35	figure	Figure 1—figure supplement 1	8	(E) Adult head shown.
36	figure	Figure 1—figure supplement 1	9	Olfactory neurons (yellow arrowhead) and Johnston’s organ are marked with the Unc-4 reporter.
37	figure	Figure 1—figure supplement 1	10	(F–G) Adult legs shown.
38	figure	Figure 1—figure supplement 1	11	(F) unc-4AD-ChATDBD driven GFP expression marks chordotonal neurons (yellow arrow), campaniform sensilla neurons (arrowhead), and bristle sensory neurons (white arrows).
39	figure	Figure 1—figure supplement 1	12	Unc-4 expression marks bristles sensory neurons in the anterior compartment of the leg but not the ones in the posterior compartment (G).
